provincia;id_provincia_indec;departamento;codigo_departamento_indec;m201401;m201402;m201403;m201404;m201405;m201406;m201407;m201408;m201409;m201410;m201411;m201412;m201501;m201502;m201503;m201504;m201505;m201506;m201507;m201508;m201509;m201510;m201511;m201512;m201601;m201602;m201603;m201604;m201605;m201606;m201607;m201608;m201609;m201610;m201611;m201612;m201701;m201702;m201703;m201704;m201705;m201706;m201707;m201708;m201709;m201710;m201711;m201712;m201801;m201802;m201803;m201804;m201805;m201806;m201807;m201808;m201809;m201810;m201811;m201812;m201901;m201902;m201903;m201904;m201905;m201906;m201907;m201908;m201909;m201910;m201911;m201912;m202001;m202002;m202003;m202004;m202005;m202006;m202007;m202008;m202009;m202010;m202011;m202012;m202101;m202102;m202103;m202104;m202105;m202106;m202107;m202108;m202109;m202110;m202111;m202112;m202201;m202202;m202203;m202204;m202205;m202206;m202207;m202208;m202209;m202210;m202211;m202212;m202301;m202302;m202303;m202304;m202305;m202306;m202307;m202308;m202309;m202310;m202311
Buenos Aires;6;25 de Mayo;6854;8140;7763;8358;8900;8613;12228;8914;9211;9576;9884;10102;14377;11009;10835;11165;11252;11548;17065;12158;12629;12709;12862;13273;18769;14041;13850;13898;15049;15964;21753;16231;16893;17007;17442;18071;25872;19431;18856;19862;18902;19495;27447;20885;20845;21159;22255;22385;31658;24452;23260;23480;24846;25181;35195;25715;27430;27384;29398;29668;44793;32002;31155;32659;33659;35678;48517;37398;37845;39088;40851;42701;58669;46345;47225;48869;48748;48861;70962;53340;52785;53505;57690;58448;85996;64681;64537;67356;71790;71332;103895;79519;82477;84852;91302;92655;138337;104132;100478;109984;116112;121293;178435;137351;140814;153717;163953;174259;276575;201728;197844;221916;233617;251592;380168;304486;329480;377174;395864;439899
Buenos Aires;6;9 de Julio;6588;8734;8719;8901;9635;9487;13733;9901;10103;10688;10655;10891;15936;11811;11534;12023;12196;12648;18625;13301;13507;14019;14039;14454;20642;15467;15294;15586;16701;16968;24116;17774;18154;18252;18916;19541;28154;21277;20630;21034;21385;21246;30885;22869;22966;23748;24076;24244;34500;26537;25865;25951;26827;27161;38211;28068;28483;29257;31504;32847;48011;35951;34829;36369;36790;38036;54178;40839;41856;44179;45078;46924;66459;53082;52602;54147;52771;52988;80411;56014;57316;58878;62610;62565;93826;71807;71764;74723;78310;79228;113948;85391;88887;93087;96704;99603;152174;112522;111512;123833;126358;132444;193513;146518;152537;168036;175301;188011;293321;223774;220000;244811;260507;278598;421147;332983;365111;408429;425602;480035
Buenos Aires;6;Adolfo Alsina;6007;8411;8102;8713;9199;9174;12916;9490;9797;10198;10318;10577;14847;11240;11158;11430;11612;12498;18160;12856;13276;13728;13634;14540;20161;15094;14981;16196;16275;16923;23558;17674;18450;18506;18619;19417;27580;20336;20180;20737;20986;21328;29813;22893;22795;23750;24445;24429;35185;27212;25300;25814;27263;27320;38858;28365;29337;29651;31967;32670;48701;35287;35384;37691;38131;39693;55576;42447;44676;46444;47347;49564;63995;53703;57287;54349;53623;53808;74932;56297;58202;60906;64637;65312;90111;70238;75996;75659;79954;75656;108030;89063;91610;93971;97783;100452;155817;114533;121328;125988;129115;134260;203337;153084;159941;177551;185615;192866;302594;224019;230994;250809;283963;289686;435946;341523;383230;424494;446226;503418
Buenos Aires;6;Adolfo Gonzales Chaves;6014;8510;8183;8576;9022;8885;12550;9123;9464;10073;10217;10704;15007;11419;11155;11411;11808;12284;17424;12374;13199;13485;13463;14450;19601;14508;14241;14869;15852;17187;22131;17166;17789;17887;18212;19763;26489;19909;19684;20582;20293;21236;28806;22332;22127;22826;23524;24056;33254;26259;24823;25393;27362;26747;38505;28440;28934;29487;31605;32364;48308;34222;35535;36937;37482;37501;51308;39916;40879;43497;43113;48090;63365;48851;52468;53317;52314;53604;78103;57370;58485;57619;62405;60866;96724;67567;68944;68726;75145;74034;108305;83311;85457;86036;92335;93902;144881;105045;103513;109743;113027;122857;178087;132828;141345;158559;168931;179022;277621;207259;206765;226558;253229;271029;397053;318000;341846;386058;393177;430996
Buenos Aires;6;Alberti;6021;9447;9612;9650;10471;10287;14184;10446;10795;11499;11316;11634;15609;12262;12068;13040;13351;13602;18965;14098;14488;14940;14854;15284;21102;16107;16021;16475;17599;18314;24314;19169;19975;20275;20061;21060;28938;21608;21773;22572;22334;22968;30562;23825;24383;24828;25493;25340;35556;27830;25807;26620;28661;28459;39219;29548;29877;30773;33411;33943;50847;36289;36340;38238;41652;40476;55065;44713;44120;45836;47990;48618;70209;54413;57666;56714;56586;57376;83434;59288;60457;61808;65979;67181;102958;80061;75749;81251;82696;87802;119581;92166;94192;97630;102074;107581;166518;127660;116057;129530;132423;142764;203677;153317;160316;172231;183480;206663;324754;256245;231314;261293;274664;318846;441181;350043;380018;430378;456354;517475
Buenos Aires;6;Almirante Brown;6028;9774;9456;10039;10464;10449;15192;11263;11360;11890;11857;11981;17715;13090;12796;13335;13464;13668;20632;15134;15344;15706;15716;15997;23590;17268;17061;17609;18185;18565;27006;19681;20129;20322;20926;21485;32039;23743;22805;23611;23491;23885;34805;25702;25963;26352;26633;26874;38665;29240;28268;29255;30182;30122;42965;31360;32276;32478;34600;36061;52929;40237;38674;41550;41196;42330;60784;45804;46891;48004;51302;51973;75381;58787;59746;60962;57658;57391;85538;60948;62849;64014;67941;70056;103155;79043;79896;82776;84952;85813;126176;95975;96902;100970;104647;110188;163643;120706;122477;134265;135839;144071;210125;158187;166890;180985;189642;205277;320988;238824;241007;270984;283783;301740;460577;363065;392123;434480;468983;515283
Buenos Aires;6;Arrecifes;6077;8629;8085;8690;9213;9266;13217;9662;9912;10062;10373;10519;14949;11339;10829;11292;11652;12012;17984;12971;13043;13358;13925;14064;20082;14903;14572;15123;16113;16654;23642;17387;17637;17836;18515;19071;27276;20777;19626;20696;20510;21474;30569;22668;22833;23589;24028;24415;34882;26124;24435;25816;26730;26945;38869;28495;28912;29144;31679;33304;47933;34901;34132;35868;37610;38741;54096;40980;42162;44312;45650;46699;67261;51943;50764;53449;51834;52680;78860;56069;56538;57571;61152;63410;94471;71018;67964;75998;76765;79830;114410;84893;88141;90887;94911;97965;149243;110055;105849;118296;121879;130988;190109;139628;147075;159469;169519;183160;288786;215948;215483;239716;257441;281629;421710;324971;357342;393716;414016;465926
Buenos Aires;6;Avellaneda;6035;10465;10098;10693;11089;10956;16052;11837;11998;12348;12488;12674;18623;13974;13532;14171;14000;14249;21818;15733;15988;16274;16300;16678;24659;18341;18023;18624;19069;19632;28388;20548;20999;21335;21960;22649;33540;24988;24126;25258;24735;25044;36802;26801;27185;27484;27917;28280;41334;31132;29746;31207;31595;31716;45597;32754;33802;34565;36293;38071;56059;42320;41208;44586;44225;45217;65639;48895;50285;51178;55160;55521;80651;63446;63376;65733;61283;61199;90706;65856;67093;67881;72850;75427;109242;83172;82896;89760;90408;90390;134356;101065;102284;106767;111912;117207;172694;131067;130335;145812;145302;154943;225621;170126;177611;191554;203949;221031;340384;258305;261368;294742;300959;321386;492485;383851;421773;465421;503116;556531
Buenos Aires;6;Ayacucho;6042;7675;7606;8009;8605;8406;11966;8731;9078;9422;9042;9511;13744;10008;10086;10586;10652;11033;16069;11818;11861;12485;12347;13428;18560;13268;13166;13634;14404;15145;20902;15461;16005;16350;17123;17718;25116;17718;18070;18275;18706;18870;26536;19913;20161;21117;22113;21880;30529;22632;22423;22575;24152;24161;33864;24820;25011;26610;28037;28509;42998;29834;29438;30745;32100;32441;46950;35307;36923;39041;40233;41495;58571;44473;45415;47405;46987;46407;68527;49366;51016;50918;54885;55677;83883;63097;62556;65560;67379;66666;100608;74658;78589;78416;84136;87380;135556;98695;97056;103832;106978;112497;165349;127789;134842;144693;154716;167264;262460;193406;196258;215821;232898;244811;367525;298259;323350;368530;380211;430156
Buenos Aires;6;Azul;6049;9477;9214;9661;10456;10338;14835;11071;11379;11840;11663;12021;17334;12787;12898;13239;13370;13945;20304;14803;15070;15302;15453;15978;22470;18403;16196;16827;17435;18173;26471;19465;20403;20475;20929;21831;30958;22927;22128;22596;22789;23868;33288;25060;25362;26483;26773;26741;39182;28287;27165;28013;29348;29036;42300;31186;31847;32654;34905;36285;53288;42118;39096;39607;40039;42048;59398;45766;47027;47682;50417;51317;73871;55867;56731;59263;57984;58353;87935;61490;62477;63670;68793;71077;102611;75950;77043;81330;85779;85796;125501;94038;97030;100643;103942;108829;163246;119458;117835;129709;135167;144143;210542;156280;164474;178455;192995;206858;319027;238123;232097;267727;282984;309579;460320;370695;395195;444448;462897;514093
